cate1,Q,A,paragraph
택배,택배 취급 금지 품목의 물품은 얼마 이상인가요?,300만원을 초과하는 물품,"택배 회사는 고객이 운송장에 필요한 사항을 기재하지 않은 경우, 운송물의 포장이 운송에 적합하지 않은 경우, 운송물의 확인을 거절하거나 운송물의 종류와 수량이 운송장에 기재된 것과 다른 경우, 대형 상품인 경우, 운송물 1포장의 가액이 300만원을 초과하는 경우, 운송물의 인도예정일에 운송이 불가능한 경우에는 운송물의 수탁을 거절할 수 있습니다. 운송물이 화약류, 인화물질 등 위험한 물건인 경우, 밀수품, 군수품, 부정임산물 등 위법한 물건인 경우, 운송물이 살아있는 동물, 동물 사체인 경우, 운송이 법령, 사회질서 그 밖의 선량한 풍속에 반하는 물건인 경우에는 택배를 보낼 수 없습니다. 택배 회사는 일부 품목에 대하여 운송을 거절할 수 있음에도 불구하고, 운송을 수락하여 운송 중 택배 회사의 과실로 운송물이 부패되거나 파손된 경우에는 손해배상 책임을 져야합니다. 냉장고도 택배로?택배로 보낼 수 있는 물품의 규격은 정해져 있습니다. 규정에 따르면 택배로 보낼 수 있는 물품은 ‘포장한 박스의 가로·세로·높이의 합이 160cm 이내, 가장 긴 면이 100cm이내인 소형 화물’이라고 되어 있습니다. 냉장고나 세탁기처럼 너무 크거나 무거운 물품은 택배로 보낼 수 없습니다. 택배로 가격이 500만원인 카메라를 보낼 수 있나요? 300만원을 초과하는 물품은 택배 취급 금지 품목입니다. 택배 회사가 카메라의 수탁을 수락해서 할증요금을 지불한다고 해도 카메라를 분실했을 때의 최고 배상액은 300만원이므로 그 이상의 보상은 어렵습니다. "
택배,운송장에 운송물의 가액을 기재하지 않은 경우에는 손해배상한도액은 얼마인가요?,50만원,"운송장은 양 당사자 간의 거래내용을 입증하는 자료로써, 특히 운송장에 기재하는 물품명 및 물품가격은 운송 중 분실이나 파손 등 피해가 발생했을 때 보상범위 등을 판단할 근거자료로 활용됩니다. 따라서 만약을 대비하여 운송장을 배송완료 시까지 보관해야 됩니다. 택배 회사는 ‘고객이 운송장에 운송물의 가액을 기재하지 않은 경우 택배 회사가 손해배상을 할 때에 손해배상한도액은 50만원이 적용되고, 운송물의 가액에 따라 할증요금을 지급하는 경우에는 각 운송가액 구간별 최고가액이 적용됨’을 운송장에 명시해 놓아야 합니다. 특히 손해배상한도액과 관련하여 택배 회사는 고객이 운송장에 운송물의 가액을 기재하지 않은 경우에는 택배 회사가 손해배상을 할 때에 손해배상한도액은 50만원이 적용되고, 운송물의 가액에 따라 할증요금을 지급하는 경우에는 각 운송가액 구간별 최고가액이 적용됨을 반드시 명시해 놓아야 합니다. 고객은 교부받은 운송장에 다음의 기재 사항을 적고 기명날인 또는 서명을 하여 이를 다시 택배 기사분에게 드립니다. 받는 사람 주소, 전화번호, 성명 주소는 통/반/번지 및 주위의 큰 건물 등의 명칭을 정확히 기재합니다.회사, 단체일 경우 상호와 담당부서, 성명을 기재합니다.고객 부재 시 연락을 위해 반드시 휴대폰 번호를 기재합니다. B. 보내는 사람 주소, 전화번호, 성명 받는 사람의 연락처가 잘못 기재되거나, 받는 사람이 택배를 받을 수 없는 경우 연락을 위해 반드시 보내는 사람의 주소와 전화번호를 기재합니다. C. 수량·중량 박스 수량 및 중량을 기재합니다.중량 또는 용적 중 큰 쪽을 적용합니다. "
퇴직급여제도,고용주가 퇴직급여제도를 다른 종류로 변경할 때 누구의 동의를 받아야해?,노동조합,"고용주가 퇴직급여제도를 다른 종류의 퇴직급여제도로 변경하려는 경우에는 근로자의 과반수가 가입한 노동조합의 동의를 받아야 합니다. 고용주가 변경된 퇴직급여제도의 내용을 변경하려는 경우에는 노동조합의 의견을 들어야 합니다. 고용주가 노동조합 또는 개별 근로자의 동의를 받지 않거나 의견을 듣지 않고 퇴직급여의 종류 및 내용을 변경한 경우에는 500만원 이하의 벌금에 처해집니다. 확정기여형 퇴직연금을 유지하면서 확정급여형 퇴직연금으로 변경하는 경우, 확정급여형 제도규약을 신고함과 동시에, 확정기여형 제도 규약의 변경이 이루어져야 합니다. 퇴직연금제도가 폐지되거나 운영이 중단된 경우에는 폐지된 이후 또는 중단된 기간에 대해 퇴직금제도를 적용합니다. 고용주는 퇴직연금제도가 폐지된 경우 지체 없이 적립금으로 급여를 지급하는데 필요한 다음의 조치를 해야 합니다. 고용주와 퇴직연금사업자는 퇴직연금제도가 중단된 경우에 적립금 운용에 필요한 업무 등 다음의 업무를 유지해야 합니다. 고용주와 퇴직연금사업자는 퇴직연금제도가 폐지되어 가입자에게 급여를 지급하는 경우에 가입자가 지정한 개인형 퇴직연금제도의 계정으로 이전하는 방법으로 지급해야 합니다. 다만, 가입자가 개인형 퇴직연금제도의 계정을 지정하지 않은 경우에는 해당 퇴직연금사업자가 운영하는 계정으로 이전합니다. 가입자의 퇴직연금제도가 폐지되어 개인형 퇴직연금제도의 계정으로 급여를 받은 경우에는 중간정산되어 지급받은 것으로 보며, 이 경우 중간정산 대상기간은 다음의 구분에 따릅니다."
퇴직급여제도,확정기여형 퇴직연금 가입자는 어떻게 퇴직급여를 지급받나요?,확정급여형 또는 확정기여형 퇴직연금 가입자는 연금 또는 일시금으로 퇴직급여를 지급받을 수 있습니다.,"퇴직연금 지급방법은? 확정급여형 퇴직연금제도 또는 확정기여형 퇴직연금제도의 급여 종류는 연금 또는 일시금으로 하며, 수급요건은 다음과 같습니다. 연금은 55세 이상으로서 가입기간이 10년 이상인 가입자에게 지급(지급기간은 5년 이상이어야 함), 일시금은 연금수급 요건을 갖추지 못하거나 일시금 수급을 원하는 가입자에게 지급. 퇴직연금의 지급은 가입자가 지정한 개인형 퇴직연금제도의 계정(IRP)으로 이전하는 방법으로 합니다. 다만, 다음의 어느 하나에 해당하는 경우에는 개인형 퇴직연금제도의 계정으로 이전하지 않아도 됩니다. 가입자가 55세 이후에 퇴직하여 급여를 받는 경우, 가입자가 급여를 담보로 대출받은 금액 등을 상환하기 위한 경우. 이 경우 가입자가 지정한 개인형 퇴직연금제도의 계정으로 이전하지 않은 금액은 담보대출 채무상환 금액을 초과할 수 없습니다. 퇴직급여액이 300만원 이하인 경우."
특허권,등록된 특허권은 어떤 경우에 그 권리가 소멸되나요?,특허권·전용실시권 및 통상실시권의 포기가 있는 때,"특허권자는 특허권을 목적으로 하는 질권설정 이전에 그 특허발명을 실시하고 있는 경우에는 그 특허권이 경매 등에 의하여 이전되더라도 그 특허발명에 대하여 통상실시권을 가집니다. 이 경우 특허권자는 경매 등에 의하여 특허권을 이전받은 자에게 상당한 대가를 지급하여야 합니다. 말소등록이란 특허권의 권리에 설정된 실시권, 질권 및 가등록된 권리를 포기, 사망, 계약해제, 명의인의 승낙, 판결 등의 원인으로 말소시키는 것을 말합니다. 특허권·전용실시권 및 통상실시권의 포기가 있는 때에는 특허권·전용실시권 및 통상실시권은 그때부터 소멸됩니다. 말소등록신청에 관한 내용은 사안별로 차이가 있으므로 특허청 고객지원실 또는 특허고객상담센터에 문의하여 확인하여야 합니다. 특허권·전용실시권 또는 통상실시권을 목적으로 하는 질권을 설정하였을 때에는 질권자는 계약으로 특별히 정한 경우를 제외하고는 해당 특허발명을 실시할 수 없습니다. 질권은 이 특허법에 따른 보상금이나 특허발명의 실시에 대하여 받을 대가나 물건에 대해서도 행사할 수 있습니다. 다만, 그 보상금 등의 지급 또는 인도 전에 압류하여야 합니다. 추가납부기간에 특허료를 내지 않았거나 보전기간에 보전하지 않아 특허발명의 특허권이 소멸한 경우 그 특허권자는 추가납부기간 또는 보전기간 만료일부터 3개월 이내에 특허료의 2배에 상당하는 금액을 내고, 그 소멸한 권리의 회복을 신청할 수 있습니다. 이 경우 그 특허권은 계속하여 존속하고 있던 것으로 봅니다. 특허권의 회복을 신청하려는 특허권자는 특허권 등의 등록령 시행규칙 별지 제25호서식의 납부서에 그 취지를 적어 특허청장에게 제출해야 합니다. 이 경우 대리인을 통해 절차를 밟는다면 그 대리권을 증명하는 서류 1통을 첨부해야 합니다."
특허권,국제특허를 받고자 하는 경우 PCT 출원절차는 어떤 순으로 진행되나요?,"① 국제출원, ② 국제조사, ③ 국제공개, ④ 국제예비심사의 단계","국제특허를 받고자 하는 경우 특허협력조약이 정한 절차에 따라 출원할 수 있습니다. PCT 출원절차의 단계는 ① 국제출원, ② 국제조사, ③ 국제공개, ④ 국제예비심사의 단계로 나누어집니다. 특허독립의 원칙상 각국의 특허는 서로 독립적으로 반드시 특허권 등을 획득하고자 하는 나라에 출원을 하여 그 나라의 특허권 등을 취득하여야만 해당국에서 독점 배타적 권리를 확보할 수 있습니다. 따라서 한국에서 특허권 등의 권리를 취득하였더라도 다른 나라에서 권리를 취득하지 못하면 그 나라에서는 독점 배타적인 권리를 행사할 수가 없습니다. 이러한 1국 1특허의 원칙 때문에 해외출원이 필요하며, 해외출원을 하는 방법에는 전통적인 출원방법과 PCT국제출원방법으로 구별됩니다. 다만, 선 출원에 대한 우선권을 주장하여 출원하는 경우 선출원의 출원일로부터 12개월 이내에 PCT 국제출원을 하여야 우선권을 인정받을 수 있습니다. 국제출원제도에 대한 자세한 내용은 특허청 홈페이지의 특허마당-PCT에서 확인하실 수 있습니다. "
파견근로자,파견근로자란 무엇인가요?,파견사업주가 고용한 근로자로서 근로자파견의 대상이 되는 사람,"“파견근로자”란 파견사업주가 고용한 근로자로서 근로자파견의 대상이 되는 사람을 말합니다. 용어의 정리근로자파견: 파견사업주가 근로자를 고용한 후 그 고용관계를 유지하면서 근로자파견계약의 내용에 따라 사용사업주의 지휘·명령을 받아 사용사업주를 위한 근로에 종사하게 하는 것을 말합니다.파견사업주: 근로자파견사업을 하는 자를 말합니다.사용사업주: 근로자파견계약에 따라 파견근로자를 사용하는 자를 말합니다. 관련판례 ? 근로자파견 판단기준원고용주가 어느 근로자로 하여금 제3자를 위한 업무를 수행하도록 하는 경우, 그 법률관계가 파견근로자 보호 등에 관한 법률의 적용을 받는 근로자파견에 해당하는지는, 당사자가 붙인 계약의 명칭이나, 형식에 구애될 것이 아니라, ? 제3자가 당해 근로자에 대하여 직·간접적으로 업무수행자체에 관한 구속력 있는 지시를 하는 등 상당한 지휘·명령을 하는지, ? 당해 근로자가 제3자 소속 근로자와 하나의 작업집단으로 구성되어 직접 공동 작업을 하는 등 제3자의 사업에 실질적으로 편입되었다고 볼 수 있는지, ? 원고용주가 작업에 투입될 근로자의 선발이나 근로자의 수, 교육 및 훈련, 작업·휴게시간, 휴가, 근무태도 점검 등에 관한 독자적인 결정 권한을 행사하는지, ? 계약의 목적이 구체적으로 범위가 한정된 업무의 이행으로 확정되고 당해 근로자가 맡은 업무가 제3자 소속 근로자의 업무와 구별되며 그러한 업무에 전문성·기술성이 있는지, ? 원고용주가 계약의 목적을 달성하기 위하여 필요한 독립적 기업조직이나 설비를 갖추고 있는지 등의 요소를 바탕으로 근로관계의 실질에 따라 판단해야 합니다. 파견근로자 보호 등에 관한 법률은 적용범위에 대한 별도의 규정을 두고 있지 않으므로 모든 사업 또는 사업장에 적용됩니다. 다만, 파견근로자 보호 등에 관한 법률 제21조는 사용사업주가 상시 5명 이상의 근로자를 사용하는 경우에만 적용됩니다. “상시근로자”는 사용사업주가 직접 고용한 모든 근로자를 의미하며, 파견근로자는 제외됩니다."
펜션 사업자,관광 펜션시설업의 지정을 받으면 어떤 혜택을 누리나요?,"영업소에 관광표지를 부착할 수 있으며, 관광펜션의 건설 및 개보수 비용을 낮은 금리로 융자받는 등","공중위생관리법에 따라 공중위생영업신고를 한 펜션 사업자 또는 농어촌정비법에 따라 농어촌민박사업자신고를 한 펜션 사업자는 일정한 기준을 갖추어서 시장ㆍ군수ㆍ구청장으로부터 관광진흥법에 따른 관광 편의시설업 중 관광펜션업으로 지정받을 수 있습니다. 관광 편의시설업 지정사항을 변경하는 경우에는 그 변경 사유가 발생한 날부터 30일 이내에 시장ㆍ군수ㆍ구청장에게 관광 편의시설업 지정 변경신고를 해야 합니다. 관광펜션업은 숙박시설을 운영하고 있는 자가 자연·문화 체험관광에 적합한 시설을 갖추어 관광객에게 이용하게 하는 업으로서, 관광 편의시설업의 한 유형에 속합니다. 관광 편의시설업은 관광진흥법 제3조제1항제1호부터 제6호까지의 규정에 따른 관광사업 외에 관광 진흥에 이바지 할 수 있다고 인정되는 사업이나 시설 등을 운영하는 업으로서, 관광펜션업 외에 관광유흥음식점업·관광극장유흥업·외국인전용 유흥음식점업·관광식당업·관광순환버스업·관광사진업·여객자동차터미널시설업·관광궤도업·한옥체험업이 여기에 속합니다. 관광펜션업을 경영하려는 자는 특별자치시장·특별자치도지사·시장·군수·구청장에게 신청해서 관광 편의시설업의 지정을 받아야 합니다. 관광 편의시설업의 지정은 강제사항은 아닙니다. 그러나 관광 편의시설업의 지정을 받으면 영업소에 관광표지를 부착할 수 있으며, 관광펜션의 건설 및 개보수 비용을 낮은 금리로 융자받는 등 여러 가지 혜택을 누릴 수 있습니다. 관광 편의시설업으로 지정을 받으려는 자는 다음의 기준을 갖추어야 합니다. 다음 어느 하나에 해당하는 자는 관광 편의시설업의 지정을 받을 수 없습니다. 관광 편의시설업의 지정을 받은 자가 위의 요건 중 어느 하나에 해당하면 3개월 이내에 그 지정이 취소되거나 영업소가 폐쇄됩니다. 관광 편의시설업의 지정을 받으려면 특별자치시장·특별자치도지사·시장·군수·구청장에게 다음의 서류를 제출해야 합니다."
펜션 사업자,관광펜션사업을 창업할 때 비용을 지원받을 수 있나요?,그 건설 및 개보수에 필요한 비용을 비교적 낮은 금리로 지원받을 수 있습니다.,"펜션사업 중 관광펜션 사업을 하려는 경우에는 그 건설 및 개보수에 필요한 비용을 비교적 낮은 금리로 지원받을 수 있습니다. 관광펜션에 대한 관광진흥개발기금의 융자 금리 및 상환 조건은 다음과 같습니다. 제주관광진흥기금의 개보수비용 융자 지원 휴양펜션의 개보수에 필요한 비용은 제주관광진흥기금에서 저리로 지원받을 수 있습니다[제주관광진흥기금 운용·관리 조례 제4조제1항제7호·제5조]. 제주관광진흥기금의 융자지원계획은 매 분기별로 공고되며 제주특별자치도 홈페이지에서 확인하실 수 있습니다. 관광펜션을 건축하려는 경우에는 그 관광펜션의 건설, 개보수에 필요한 비용을 융자받을 수 있습니다. 그러나 융자 종류에 따라 다음과 같은 조건을 갖추어야 합니다. 관광펜션 건설 관광진흥법 제3조 및 관광진흥법 시행령 제2조에 따라 관광펜션업을 운영하고자, 건축법에 의한 건축허가를 받은 자 신청 전에 해당 건축허가서를 시·구·군청 관광과에 제시하여 관광펜션 지정이 가능한지 확인해야 합니다.이 경우 공사가 완료되면 반드시 관광펜션업으로 지정받아야 합니다. 그렇지 않으면 이미 대출된 융자금이 회수됩니다. 관광진흥개발기금 지원은 신청기간이 있으므로 미리 확인하여 신청 기간 내에 지정은행에 신청해야 합니다. 건설 및 개보수자금 융자 접수은행은 한국산업은행, 우리은행, 국민은행, 신한은행, 기업은행, KEB하나은행, 한국씨티은행, 부산은행, 대구은행, 광주은행, 전북은행, 경남은행, SC은행, 농협은행, 수협은행 등 15개 은행 지점입니다. 운영자금 융자 신청은 업종별 관광협회, 시·도 관광협회, 한국관광협회중앙회에서 할 수 있습니다. 관광펜션에 대한 관광진흥개발기금 지원을 신청할 때는 다음의 서류를 제출해야 합니다. 융자신청 후 은행에서 융자금액을 확정하고 융자금이 지급되기까지 14일 정도 소요되며, 은행의 업무절차 또는 기금의 자금사정에 따라 지연될 수 있습니다. 관광진흥개발기금 지원에 관한 자세한 사항은 2020년 상반기 관광진흥개발기금 융자지원지침에서 확인할 수 있습니다."
폐기물처리(업),생활폐기물은 발생원 및 성질에 따라 어떻게 분류되나요?,"폐기물은 발생원 및 성질에 따라 “사업장폐기물”, “지정폐기물” 및 “생활폐기물”로 분류됩니다. ","“폐기물”이란 쓰레기, 연소재, 오니, 폐유, 폐산, 폐알칼리 및 동물의 사체 등으로서 사람의 생활이나 사업활동에 필요하지 않게 된 물질을 말합니다. 폐기물의 성질 자연환경 및 생활환경에 중대한 영향을 미칠 우려가 있는 폐기물의 배출을 엄격히 규제하여 환경보전과 국민생활의 질적 향상을 도모하려는 폐기물관리법의 취지에 비추어, 사업장에서 배출되는 물질이 해당 사업장의 사업 활동에 필요하지 아니하게 된 이상, 그 물질은 폐기물관리법에서 말하는 폐기물에 해당한다고 보아야 하고, 해당 사업장에서 폐기된 물질이 재활용 원료로 공급된다고 해서 폐기물로서의 성질을 상실하는 것은 아닙니다. 폐기물은 발생원 및 성질에 따라 “사업장폐기물”, “지정폐기물” 및 “생활폐기물”로 분류됩니다. 사업장폐기물이란 대기환경보전법, 물환경보전법 또는 소음·진동관리법에 따라 배출시설을 설치·운영하는 사업장 또는 다음에 열거한 사업장에서 발생하는 폐기물을 말합니다. “지정폐기물”이란 사업장폐기물 중 폐유·폐산 등 주변 환경을 오염시킬 수 있거나 의료폐기물 등 인체에 위해를 줄 수 있는 해로운 물질로서 폐기물관리법 시행령 별표 1에 따른 폐기물을 말합니다. “의료폐기물”이란 보건·의료기관, 동물병원, 시험·검사기관 등에서 배출되는 폐기물 중 인체에 감염 등 위해를 줄 우려가 있는 폐기물과 인체 조직 등 적출물, 실험동물의 사체 등 보건·환경보호상 특별한 관리가 필요하다고 인정되는 폐기물로서 폐기물관리법 시행령 별표 2에 따른 폐기물을 말합니다. “생활폐기물”이란 사업장폐기물 외의 폐기물로 가정에서 배출하는 종량제봉투 배출 폐기물, 음식물류 폐기물, 폐식용유, 폐지류, 고철 및 금속캔류, 폐목재 및 폐가구류 등을 말합니다. 폐기물의 종류별 세부분류에 관한 자세한 사항은 폐기물관리법 시행규칙 별표 4에서, 폐기물의 처리 및 재활용 방법에 관하여는 한국폐기물협회 홈페이지, 자원순환정보-폐기물처리 및 재활용방법 에서 확인할 수 있습니다."
폐기물처리(업),폐기물처리업자가 장부를 기록 또는 보존하지 않거나 거짓으로 기록하면 어떤 처벌을 받나요?,100만원 이하의 과태료를 부과,"다만, 영업정지가 이용자의 사업활동에 막대한 지장을 줄 우려가 있거나 인근지역 주민의 건강에 위해가 발생될 우려가 인정되는 경우 등에는 영업의 정지에 갈음하여 다음의 과징금을 부과할 수 있습니다. 폐기물처리업자는 업종에 따라 다음의 장부를 갖추어 두고 폐기물의 수집·운반·처리상황 등을 기록하고, 마지막으로 기록한 날부터 3년 동안 보존해야 합니다. 기록·보존해야 하는 장부는 폐기물관리법 제45조제2항에 따른 전자정보처리프로그램을 이용하여 전자기록매체에 기록·보존할 수 있습니다. 다만, 폐기물관리법 제25조제5항제2호부터 제7호까지에 따른 영업을 하는 자 또는 폐기물관리법 제46조제1항제1호에 해당하는 자는 장부에 기록·보존하여야 하는 폐기물의 발생·배출·처리상황 등을 폐기물관리법 제45조제2항에 따른 전자정부처리프로그램에 입력해야 합니다. 폐기물의 발생·배출·처리상황 등의 전자정보프로그램 입력방법 및 절차는 폐기물관리법 시행규칙 별표 15의2에서 확인할 수 있습니다. 폐기물처리업자가 장부를 기록·보존하지 않은 경우에는 다음의 행정처분을 받습니다. 폐기물처리업자에게 위의 영업정지 처분을 하려는 경우에 그 영업정지가 이용자의 사업활동에 막대한 지장을 줄 우려가 있거나 인근지역 주민의 건강에 위해가 발생될 우려가 인정되는 경우 등에는 영업의 정지에 갈음하여 위의 과징금을 부과할 수 있습니다. 폐기물처리업자가 장부를 기록 또는 보존하지 않거나 거짓으로 기록하면 100만원 이하의 과태료를 부과 받습니다. 과태료의 부과·징수 및 불복 절차에 관한 자세한 내용은 이 사이트 과태료 납부자에서 확인할 수 있습니다. 환경부장관, 시·도지사 또는 시장·군수·구청장은 위에 따른 보고서를 제출해야 하는 자가 기한 내에 제출하지 않으면 기간을 정하여 제출을 명할 수 있습니다."
폭행ㆍ상해의 피해자ㆍ가해자,누범의 형은 몇배까지 가중될 수 있나요?,2배,"폭행ㆍ상해사건의 가해자는 사건의 정황, 환경, 피해자와의 관계, 상습성, 자수 등의 사유로 법률에 정해진 형벌보다 가중되거나 감경될 수 있습니다. 형을 정하는 경우 다음 사항이 참작됩니다. “누범”이란, 금고 이상의 형을 받고 그 집행이 종료되거나 면제를 받은 후 3년 내에 금고 이상에 해당하는 죄를 범하는 경우를 말합니다. 누범의 형은 형법에 정해진 형의 장기의 2배까지 가중됩니다. 판결선고 후 누범인 것이 발각된 경우에는 선고한 형을 통산하여 다시 형을 정할 수 있습니다. 다만, 선고한 형의 집행이 종료되거나 그 집행이 면제된 후에는 다시 형을 정할 수 없습니다. 상습범과 누범의 구별상습범과 누범은 서로 다른 개념으로서 누범에 해당한다고 하여 반드시 상습범이 되는 것이 아니며, 반대로 상습범에 해당한다고 하여 반드시 누범이 되는 것도 아닙니다. 또한, 행위자의 책임에 형벌가중의 본질이 있는 상습범과 행위의 책임에 형벌가중의 본질이 있는 누범을 단지 평면적으로 비교하여 그 경중을 가릴 수는 없고, 사안에 따라서는 폭력행위 등 처벌에 관한 법률 제3조제4항에 따른 누범의 책임이 상습범의 경우보다 오히려 더 무거운 경우도 얼마든지 있을 수 있습니다. 자기의 지휘, 감독을 받는 사람을 교사 또는 방조하여 범죄행위의 결과를 발생하게 한 사람은 교사인 때에는 해당 범죄행위에 대한 형의 장기 또는 다액에 1/2까지 가중되고, 방조인 때에는 해당 범죄행위에 대한 형으로 처벌됩니다. 상습적으로 다음 어느 하나에 해당하는 죄를 범한 경우에는 해당 범죄행위에 대한 형의 1/2까지 형이 가중됩니다. “경합범”이란, 판결이 확정되지 않은 여러 개의 범죄 또는 판결이 확정된 죄와 그 판결의 확정 전에 범한 범죄를 말합니다. "
폭행ㆍ상해의 피해자ㆍ가해자,폭행 및 상해사건에 대한 수사는 어떤 절차로 진행되나요?,"고소, 고발, 자수, 신고, 인지 등으로 수사기관은 수사를 시작하며, 범죄의 혐의가 있다고 생각되면 범죄사실과 증거에 대해 수사합니다.","고소ㆍ고발ㆍ자수ㆍ신고ㆍ인지 등으로 수사기관은 수사를 개시하며, 수사기관은 범죄의 혐의가 있다고 생각되면 범죄사실과 증거에 대해 수사합니다. 수사기관이 수사를 하는 경우 피의자는 상황에 따라 체포나 구속이 될 수 있으며, 수사가 완료되어 혐의가 인정되면 검사는 공소를 제기합니다. 수사가 개시되는 단서로는 고소, 고발 및 자수, 신고[범죄수사규칙 제29조], 인지 등이 있습니다. 검사는 범죄의 혐의가 있다고 생각되는 때에는 범인, 범죄사실과 증거에 대해 수사해야 합니다. 사법경찰관은 모든 수사에 관해 검사의 지휘를 받고, 사법경찰리는 수사를 보조해야 하며, 검사의 지휘가 있을 때에는 이에 따라야 합니다. “사법경찰관”이란, 수사관, 경무관, 경정, 총경, 경감, 경위 등을 말하며, “사법경찰리”란, 경사, 경장, 순경 등을 말합니다. 피의자가 죄를 범했다고 의심할 만한 상당한 이유가 있고, 정당한 이유 없이 수사기관의 출석요구에 응하지 않거나 응하지 않을 우려가 있는 때에는 검사는 관할 지방법원 판사에게 청구하여 체포영장을 발부받아 피의자를 체포할 수 있습니다. 사법경찰관은 검사에게 신청하여 검사의 청구로 관할 지방법원 판사의 체포영장을 발부받아 피의자를 체포할 수 있습니다. 피의자가 죄를 범했다고 의심할 만한 상당한 이유가 있고, 다음 어느 하나에 해당하는 사유가 있는 경우 검사는 관할 지방법원 판사에게 청구하여 구속영장을 발부 받아 피의자를 구속할 수 있습니다. 사법경찰관은 검사에게 신청하여 검사의 청구로 관할 지방법원 판사에게 구속영장을 발부 받아 피의자를 구속할 수 있습니다. 사법경찰관이 수사를 종결하였을 때에는 경찰관서장 또는 해양경비안전기관의 장의 지휘를 받아 사건을 모두 관할 지방검찰청 검사장 또는 지청장에게 송치합니다. 검사는 해당 사건에 대해 공소 제기 여부를 결정하여 공소장을 법원에 제출함으로써 공소가 제기되며, 이로써 수사절차가 종료됩니다. "
프랜차이즈(가맹계약),가맹점사업자인데 가맹본부에게 가맹계약의 갱신을 언제까지 요구할 수 있나요?,180일부터 90일까지의 사이,"가맹점사업자는 가맹본부에게 가맹계약기간 만료 전 180일부터 90일까지 사이에 가맹계약의 갱신을 요구할 수 있고, 가맹본부는 정당한 사유 없이 그 계약의 갱신을 거절할 수 없습니다. 가맹본부가 가맹계약기간 만료 전 180일부터 90일까지 사이에 가맹점사업자에게 조건변경 등에 관한 통지를 하지 않은 경우에는 계약 만료 전과 동일한 조건으로 다시 계약을 체결한 것으로 봅니다. 가맹점사업자의 계약갱신요구권은 최초 가맹계약기간을 포함한 10년간 보장됩니다. 가맹점사업자는 가맹계약의 기간이 만료하기 전 180일부터 90일까지의 사이에 가맹본부에게 가맹계약의 갱신을 요구할 수 있습니다. 이 경우 가맹본부는 정당한 사유 없이 계약의 갱신을 거절할 수 없습니다. 가맹점사업자의 갱신요구권은 최초의 가맹계약기간을 포함하여 전체 가맹계약기간이 10년을 초과하지 않는 범위에서만 행사할 수 있습니다. 가맹본부는 다음에 해당하는 사유가 있는 경우 가맹점사업자와의 계약 갱신을 거절할 수 있습니다. 다만, 교육·훈련 비용이 같은 업종의 통상적인 비용보다 뚜렷하게 높은 경우는 제외합니다. 가맹본부가 가맹점사업자로부터의 가맹계약의 갱신요구를 거절하는 경우에는 그 요구를 받은 날부터 15일 이내에 가맹점사업자에게 거절의 사유가 적힌 서면으로 통지해야 합니다. 가맹점사업자가 가맹계약의 갱신을 요구한 경우 가맹본부가 다음에 해당하는 통지를 하지 않은 경우에는 계약 만료 전의 가맹계약과 같은 조건으로 다시 가맹계약을 체결한 것으로 봅니다. 다만, 다음에 해당하는 사유가 있는 경우에는 같은 조건으로 다시 가맹계약을 체결한 것으로 보지 않습니다."
프랜차이즈(가맹계약),프랜차이즈 계약시에 써야 하는 정보공개서에는 어떤 내용이 수록되나요?,"가맹본부의 사업현황, 임원의 경력, 가맹점사업자의 부담, 영업활동의 조건, 가맹점사업자에 대한 교육ㆍ지도, 가맹계약의 해제ㆍ갱신 등의 내용","정보공개서에는 가맹본부의 사업현황, 임원의 경력, 가맹점사업자의 부담, 영업활동의 조건, 가맹점사업자에 대한 교육ㆍ지도, 가맹계약의 해제ㆍ갱신 등의 내용이 수록됩니다.  정보공개서는 그 내용이 명확하고 구체적이며, 가맹희망자가 이해하기 쉽도록 별도의 문서로 작성되어야 합니다. “정보공개서”란 가맹본부의 사업현황, 임원의 경력, 가맹점사업자의 부담, 영업활동의 조건, 가맹점사업자에 대한 교육·훈련, 가맹계약의 해제·해지 및 갱신 등과 같은 가맹사업에 관한 사항을 수록한 문서를 말합니다. 정보공개서는 가맹희망자가 가맹본부와 계약을 체결하기 전에 알아 두어야 할 중요한 사항을 수록한 문서로서, 가맹사업거래에 있어 가맹본부와 가맹희망자 또는 가맹점사업자간 정보의 불균형으로 인하여 발생할 수 있는 부작용을 예방하고 상대적으로 불리한 지위에 있는 가맹희망자와 가맹점사업자의 권익을 보호하기 위해 공정거래위원회에 등록할 것을 그 요건으로 하고 있습니다. 내용은 명확하고 구체적이어야 합니다. 가맹희망자가 이해하기 쉽도록 영업표지별로 별도 작성되어야 합니다. 표지, 목차 및 정보공개사항으로 구성합니다. "
